Date,IPO_Name,Issue_Size(crores),QIB,HNI,RII,Total,Offer Price,List Price,Listing Gain,CMP(BSE),CMP(NSE),Current Gains,month,quarter,year,target,qib_to_rii_ratio,hni_to_rii_ratio,institutional_dominance,log_issue_size,log_qib,log_hni,log_rii,price_bucket,nifty_5d_return
2025-07-02,HDB Financial Services Limited,12500.0,55.47,9.99,1.41,16.69,740,835.0,12.84,741.9,741.65,0.26,7,3,2025,1,39.063380281690144,7.035211267605634,3.3215568862275444,9.433563920090563,4.033709523684745,2.39698576841553,0.8796267475025635,premium,1.176683394567187
2025-07-02,Sambhv Steel Tubes Limited,540.0,62.32,31.82,7.99,28.46,82,110.1,34.27,120.8,120.61,47.32,7,3,2025,1,7.79,3.9775,2.188970846505093,6.293419278846481,4.148201235012811,3.4910380856619447,2.196112848483529,cheap,1.176683394567187
2025-07-01,Globe Civil Projects Limited,119.0,99.76,143.15,53.72,86.04,71,91.1,28.31,81.33,81.29,14.55,7,3,2025,1,1.856690861715988,2.664247161734599,1.1593259732713537,4.787491742782046,4.61274145148441,4.970854424084411,4.002229273314295,cheap,1.887456369392204
2025-07-01,Kalpataru Limited,1590.0,3.12,1.31,1.29,2.26,414,414.1,0.02,408.7,408.25,-1.28,7,3,2025,1,2.4,1.0076923076923077,1.3744493392070487,7.372118028337787,1.415853163361435,0.8372475245337022,0.8285518175661483,expensive,1.887456369392204
2025-07-01,Ellenbarrie Industrial Gases Limited,852.53,64.23,15.21,2.14,22.19,400,492.0,23.0,522.4,520.75,30.6,7,3,2025,1,29.874418604651165,7.074418604651164,2.893243243243243,6.749380691001656,4.177919485808005,2.785628335747585,1.144222799920162,expensive,1.887456369392204
2025-06-25,Arisinfra Solutions Limited,499.6,1.42,3.14,5.59,2.65,222,209.1,-5.81,149.2,147.99,-32.79,6,2,2025,0,0.2535714285714285,0.5607142857142857,0.5338345864661654,6.215807378997674,0.883767540168595,1.420695787837223,1.885553348514416,mid,0.9362338896248908
2025-06-20,Oswal Pumps Limited,1387.34,88.08,36.7,3.6,34.42,614,632.0,2.93,763.8,763.1,24.4,6,2,2025,1,24.398891966759003,10.166204986149586,2.5582340981702005,7.235864067842073,4.489534842389167,3.629660094453965,1.5260563034950492,premium,0.3020008892279133
2025-06-04,Scoda Tubes Limited,220.0,69.51,113.03,19.4,53.78,140,140.0,0.0,184.1,184.44,31.5,6,2,2025,0,3.581143740340031,5.82328696548171,1.2922476296709426,5.3981627015177525,4.25575454373095,4.736461571669267,3.0155349008501706,mid,-0.8481957356808283
2025-06-03,Prostarm Info Systems Limited,168.0,104.49,222.14,39.49,97.2,105,125.0,19.05,210.95,209.42,100.9,6,2,2025,1,2.6453164556962023,5.62379746835443,1.0748894146692725,5.1298987149230735,4.658616161693717,5.407799377165033,3.7010550300440697,cheap,-0.4414675335893737
2025-06-02,Aegis Vopak Terminals Limited,2800.0,3.3,0.56,0.77,2.09,235,220.0,-6.38,241.8,240.69,2.89,6,2,2025,0,4.230769230769231,0.717948717948718,1.5714285714285716,7.937731775260109,1.4586150226995167,0.4446858212614457,0.5709795465857378,mid,-1.0017585909523383
